Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96
,,,,,Masked ID,76,46,1,69,86,62,82,52,26,10,57,89,37,31,18,14,88,7,59,40,41,38,20,5,65,4,32,53,78,46662,46669,46681,46659,46660,46653,46672,46674,46680,46667,46666,46675,46676,46677,46656,46670,48,58,3,85,2,44,68,61,25,70,39,21,66,49,27,13,22,72,6,87,84,56,33,51,67,12,19,24,81,46661,46673,46655,46663,46654,46683,46682,46652,46664,46678,46665,46668,46657,46658,46679,46671
,,,,,BCAC_ID,PBCS-110,PBCS-178,PBCS-231,PBCS-447,PBCS-506,PBCS-603,PBCS-684,PBCS-906,PBCS-1023,PBCS-1074,PBCS-1089,PBCS-1211,PBCS-1233,PBCS-1293,PBCS-1736,PBCS-1860,PBCS-1864,PBCS-2006,PBCS-2192,PBCS-3191,PBCS-3226,PBCS-3227,PBCS-3425,PBCS-3486,PBCS-3560,PBCS-4067,PBCS-4102,PBCS-4470,PBCS-4492,PBCS-886,PBCS-1498,PBCS-1754,PBCS-1572,PBCS-1573,PBCS-1243,PBCS-2020,PBCS-2197,PBCS-2213,PBCS-3961,PBCS-3754,PBCS-4454,PBCS-4457,PBCS-4464,PBCS-3890,PBCS-4356,PBCS-250,PBCS-654,PBCS-658,PBCS-189,PBCS-863,PBCS-67,PBCS-568,PBCS-2415,PBCS-648,PBCS-923,PBCS-1247,PBCS-1414,PBCS-1910,PBCS-914,PBCS-559,PBCS-994,PBCS-924,PBCS-106,PBCS-647,PBCS-3098,PBCS-3492,PBCS-3253,PBCS-2988,PBCS-3392,PBCS-2970,PBCS-3254,PBCS-3234,PBCS-2991,PBCS-3452,PBCS-1807,PBCS-2247,PBCS-1325,PBCS-1002,PBCS-1529,PBCS-2930,PBCS-2858,PBCS-1161,PBCS-640,PBCS-4512,PBCS-3771,PBCS-4032,PBCS-4082,PBCS-4128,PBCS-4544,PBCS-4419
,,,,,Subtype Status,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
ID,Position,overall row,overall col,96plate,Protein_submit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-1:1,1,1,REG-D01,EBNA,105993185,61161080,45613504,85460533,53208998,80950495,94257305,65894474,43936216,65075941,88350255,80559661,51818945,50271259,88330648,60071485,45396601,80453237,98103282,87726979,88160920,85352814,106011066,14576843,100300200,77976406,9420060,68095487,47806962,76234880,68381368,49345825,8581857,126692995,25400705,101865669,85798578,84036015,19109961,31020841,75219861,40535833,22536999,41892761,44475867,77067784,45043526,63853182,43860982,92856654,34375910,43375549,103265967,37302673,52545741,60824275,11070609,112567602,69534543,11243281,79654890,19445251,82665789,70271387,19628941,52771426,115714920,77917163,104829118,85075942,99280485,5718387,69750554,80219715,34764724,29756921,30107484,64912653,112769093,76981969,69480875,95304756,133692390,30536798,78545836,21302403,26919703,46152540,38295879,10505292
2,1-1:2,1,2,3322-B01,Protein_0001,58340986,33804116,27326101,55455742,35033524,48749597,48161033,39403013,35786362,37465932,68531358,49271379,33290071,35912666,41328433,37791644,34049554,56299219,42135659,61477145,60693641,48986494,54095134,15894982,64585986,37694400,6381328,36576983,37723652,50853400,48270818,23766500,17517293,67321042,17181927,48149563,46159078,48870036,16682550,26280082,54032201,26583798,19572683,17792145,18698065,40948949,22967574,36261697,17792076,59937975,16468289,31155362,65385252,26744701,37970456,40106957,9924166,61743703,45456600,8761079,57389876,14429166,51806897,35428783,16028819,30274423,66200959,44535635,57093240,37404276,54978101,6830926,40454574,46996693,22983328,19989105,21575419,27990559,52136067,35017940,22525979,48097738,68901567,30600561,62512894,18866291,15124556,23378737,10758999,6112299
3,1-1:3,1,3,3322-D01,HBG1,19147583,15899785,9559086,8045986,13271210,13175093,14293106,8618727,14679725,9018563,16387817,7126975,7696246,5145578,6385532,5499233,8190994,10406607,6198416,10199071,9959556,14204673,8518096,10843921,13346247,7575033,3580586,12463378,8054501,7353257,9142880,4969061,12930460,10914456,6199771,8347506,14426707,10651532,8219464,7801799,8843511,13826086,10273757,8008378,4985356,13841479,17260769,8713631,6826364,10025894,11919541,7811852,10587031,8970031,6285095,7165485,4011820,8991565,6641168,4798320,8921912,3188734,6803925,7113431,2971568,18311439,13232372,9975883,5812414,6297565,14128706,4293996,8740567,17296530,4965086,5039203,7727313,12515967,28947150,7376740,8652665,6476018,12859051,25817580,12580817,6677723,29825202,5665944,3893022,4587560
4,1-1:4,1,4,3322-F01,Protein_0002,9763007,7023851,4347292,3949648,5135388,3540342,8400998,4657761,5061628,3993773,10054016,3665742,3564788,2590310,2406253,3098606,5907063,5189879,2458328,5044685,4414591,7550462,4914542,6753683,5246414,5660405,2605580,5829536,4362451,3937250,3647634,3534192,6992707,5475176,3819620,5668501,7067661,4883461,5590317,4183150,4515650,12993500,7528806,4190484,2076435,7836473,5778323,3602160,3304993,5498995,3494228,4558510,3921052,4838099,3052002,3743516,3011076,4161734,5000851,2407213,4656373,2031876,3334399,3274264,1745481,4568060,10473478,4703618,2859197,2485633,6481190,2734672,3338386,3305942,3585475,2466307,3482268,5083988,3252988,3682577,3915766,3265215,5202422,12543939,8229750,3883073,3500222,3109875,1924522,2630600
5,1-1:5,1,5,3322-H01,ANXA4,18812351,11615775,7774671,8126346,8100707,5326656,14038147,8017200,9385656,8271888,24490220,6290984,6137342,4787058,5127490,6056580,9994225,9386809,5086462,10413859,9486885,17058315,9695855,13324562,6165874,9693866,4481404,14339568,10985469,11993620,7156720,9449138,13528050,14825141,9930773,12183888,12210964,10340981,7805864,9808665,9992469,23964347,17858902,8324179,4169258,11535468,9897591,5989307,6554753,9100118,6596591,7096587,6039902,8779633,5373913,5959249,5208386,5249012,7252840,4905230,6808700,4443470,5671104,6572049,4099841,10309926,13536706,7883761,5309477,5139432,8859510,5436770,8204030,8751609,7855280,4587240,7517069,10640181,7379999,8280398,8917712,7284672,10436621,17199374,15024073,6786925,6902901,6152639,4505168,4695742
6,1-1:6,1,6,3322-B07,GABRA5,16503095,10203661,17379306,6586367,6766507,3650949,10108692,5185219,6835336,5447715,14151595,3918215,4502912,3647225,4436415,3530014,6101263,5239491,4229511,7110815,6171746,9928906,7055624,12898804,4039155,6432121,3096292,7516803,8966647,8836153,4664500,7640053,14069280,10790919,8628631,10357493,8601008,6220947,4233853,5999537,7804514,18304228,13074268,8551452,4140212,9382968,8737002,4538425,5001527,6555858,4725593,5027024,4563078,5825707,3176637,4380518,3605235,3690484,4282144,4072754,4670452,4045312,4273164,4809752,2779110,4209528,10670439,4971816,3608776,3843080,7313414,4003979,5378123,5943902,5480026,3176832,6219041,8088459,5143582,6702152,6802830,5744979,6956456,10977595,12009575,4447167,3975105,6463856,3614941,4980506
7,1-1:7,1,7,3322-D07,Protein_0003,17737967,10303600,7098247,7349411,7289178,4660659,11352669,6822742,8360264,6169353,18512191,5823606,5881081,10423996,3815926,5088245,8622391,7040187,4373769,9314337,9278788,12295138,7668956,14885148,8028290,7765541,3576452,10391490,9040551,9678879,4777094,7561092,11852685,11225858,7931211,11839087,9576990,7079836,5892169,7228648,9690534,21743993,12924833,6624697,3248935,9677922,8436146,5011165,7503743,11837861,5437920,8503534,5806656,8034762,4245795,6158430,6369087,4942422,7056234,4097057,5743384,4249753,5222092,5963544,3484538,5008728,12355112,5573056,4247100,3980483,9057393,4028325,7343268,5677187,5164996,3573337,5690188,8155503,4877123,6156380,6463187,5598679,7001894,12126278,11878494,4934817,4084331,4797030,2753248,4286627
8,1-1:8,1,8,REG-C01,non-spot,2083781,1518660,1114820,1042399,2379694,588294,2876244,1071652,2105414,1033050,1501492,1374340,565899,873776,816587,823498,924165,595270,615979,982529,1382187,1076387,1008581,1043297,806568,646439,350591,619956,647413,534222,706183,458407,994825,1871564,1159114,925308,2345998,933597,480992,873913,498830,526542,1082285,840247,692267,1302751,2375515,799872,1009269,1219034,1406567,1170388,1790271,761705,471072,1914196,798406,1138937,953275,523099,438036,497419,629243,720852,501297,1000989,597303,666476,597664,530852,725985,357022,1218263,493001,440354,630630,558304,1116008,675940,916332,993720,561805,544556,937775,846108,470124,1736078,914211,450344,1371141
9,1-1:9,1,9,3321-B01,SLC2A3,11946039,11370297,7560699,5808192,7928329,8048554,13376445,12284079,8021996,7877282,12273182,3139795,6242495,3810993,4678869,6731464,8218568,12013846,3859008,10421393,6787007,28421600,8501330,7727947,13886264,12497550,5507588,11467541,7798594,7813239,10013389,6053994,13250592,10352184,7397124,8992097,19597110,9478105,8146055,11003448,11749200,6638820,8354565,7509679,3610355,9934175,12194250,5973189,4916456,11984491,6184835,8301095,9004583,10636273,4028387,6161343,3619944,6784320,8275066,4057107,10023266,4614154,9182792,7178183,5024784,11369703,21715153,14004122,5559544,6509742,13860478,4789630,14013426,7296845,8968667,6536813,7640586,12994128,10032223,11524692,13223999,7204180,13222432,32114542,13084029,8180086,5346775,4411640,3920916,4007270
10,1-1:10,1,10,3321-D01,KLC2,18608595,16183679,10799450,7196649,10269773,8949011,16658628,12724895,8873969,9502424,13543311,2997189,8044147,4405889,7286860,6794725,8210275,14693546,4519392,13989116,7458510,23863597,8159181,7934084,16438045,13663312,5458367,10737705,8307226,8865359,10921249,6406433,15052473,11682308,7883020,10882879,22343511,9870585,8812545,12453866,9175478,7419009,7098310,6789845,3885754,13769516,16873906,10159855,6040598,16029295,6338618,10722489,22220576,11570844,6241425,7740150,4595292,8216973,7705436,5614611,9181978,5315609,9359578,8288262,6924980,11186876,23601698,17102980,5548243,7345838,16686786,4865938,15829750,6718365,8846657,8190423,7643610,14599203,10702961,12865001,13349285,7000431,18486078,31805757,12031509,8336178,5982612,4581207,3580128,4312827
11,1-1:11,1,11,3321-F01,Protein_0004,7593137,7738018,3983111,3740599,4444094,3303089,11025905,6436321,4529619,3739712,8790767,2429232,3103793,2684036,3415704,5501707,7426220,7837147,3046491,7490198,4562714,14730403,6524795,8128707,8338215,7769085,3385049,9604213,5836216,5558040,4593607,5060476,8667338,8003593,5434064,7446260,11384551,5040069,7236374,7755352,8982995,9100043,4434404,3801787,1712421,5718877,6154650,4771081,3182438,5059843,3135452,4131878,4783403,5205297,3060259,3410347,2635070,3574957,4449106,3169955,6198444,3034465,5734380,7108528,2870959,7581491,12753062,9636963,4750579,4701145,8321688,3545446,6718727,3721642,5132862,3231182,4416454,7219989,6192420,5610616,6916903,3869394,8700620,17347621,10740932,5752108,3590978,3089819,1808703,2758796
12,1-1:12,1,12,3321-H01,RPS13,9656317,8542747,5397983,4131774,5332006,4399310,11215263,7204013,5213991,4826378,7931512,2569725,3309312,2386658,3853827,3842740,5962870,7516250,3063181,6303080,3385204,13574606,5553695,6062910,9239219,8103265,3194683,7387162,5340093,4763693,4891095,3673242,8966589,6355413,4653855,5996741,11972873,3995177,5379845,6846919,7142339,8089624,4972168,4954443,2234546,8238208,8672704,5528204,3172172,6602976,3819803,4946778,7185431,7058244,3095033,4260882,2916810,4689593,5071933,2958514,5225721,2527532,5112010,6626116,2275787,6018735,12049750,9694162,4001379,4389949,8845457,2977419,7912553,3430158,4416963,3365106,4075984,7725066,5047906,5195386,6720119,3468035,8596337,22921518,9488346,5193622,3689758,2857864,1793719,3060126
13,1-1:13,1,13,3321-B07,SNRPA1,11350788,10842011,7078526,5379164,8400530,6741180,16349817,8052352,7429673,6845480,12103434,3329942,6241594,4114543,6935069,6631849,8631182,14223115,4116771,12269285,7758392,27516533,7765608,8398783,13922706,11929319,5270609,11326167,8263563,7693607,8733557,6705215,15167964,11897837,8154445,11462702,17088921,8841922,8096590,9556312,8957281,8594894,6460269,5374002,2513391,9488495,9316717,7620202,5679518,9864584,6052445,8228591,6401172,9813467,4227147,6907027,4180143,7707167,6818082,5117434,8185156,5077168,9186774,8695562,5149385,9009190,23693711,13941314,6169402,7912517,13768741,4087937,15154669,6200608,6810501,7682861,7812446,13571975,10518387,13335695,13226616,5948038,12988005,23869340,11019320,6655897,5330890,3282490,2768334,3544515
14,1-1:14,1,14,3321-D07,FOXS1,9951359,11044247,8234116,5857091,8823434,8635328,16486838,9135362,7833321,7085253,14351781,3808460,6602415,4150315,7690049,5896578,8916356,15002665,5018598,13128368,7999070,30504293,7972365,10549201,13132774,12568404,5230188,12768474,8785539,8303594,11702316,6977442,16081760,12893932,9366783,12240821,23438549,11461839,10032674,12373585,10651031,8422873,7693390,6549507,2703426,10036512,11195137,6102416,4793871,12278268,8210254,9320756,10629817,9706571,4327957,6439311,4531643,6901019,7773839,5417930,9021444,5166601,9915313,10498397,6086159,11286602,25054641,15418444,5746180,7542524,14054376,4156905,13880330,8544079,7779621,7092362,8691189,15772154,18270635,14446445,14432694,7065205,17804896,28997532,11297728,8529471,8768012,3689713,2674072,4195556
