id,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18,ID19,ID20,ID21,ID22,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID30,ID31,ID32,ID33,ID34,ID35,ID36,ID37,ID38,ID39,ID40,ID41,ID42,ID43,ID44,ID45,ID46,ID47,ID48,ID49,ID50,ID51,ID52,ID53,ID54,ID55,ID56,ID57,ID58,ID59,ID60,ID61,ID62,ID63,ID64,ID65,ID66,ID67,ID68,ID69,ID70,ID71,ID72,ID73,ID74,ID75,ID76,ID77,ID78,ID79,ID80,ID81,ID82,ID83,ID84,ID85,ID86,ID87,ID88,ID89,ID90
y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,3.6085323,2.5672787,1.9580612,2.3065237,2.6484708,2.3723047,3.6888358,2.1074185,2.2578697,2.7432507,5.0203928,2.8403916,2.6556484,3.0867324,0.2119156,2.4459656,3.1674294,2.7865509,0.5962354,2.7889205,2.5792542,2.8381917,1.6835091,2.6461825,1.3591674,2.0130453,1.4586244,3.1820412,2.9230465,3.5994193,2.2212714,3.1238512,3.4337091,3.1204298,3.3963025,2.995455,3.268478,3.1594815,2.5681506,2.7688338,2.8624854,3.6278044,3.9192162,2.6146447,1.4162955,2.8642634,2.4811225,1.6266537,2.2156828,2.7075652,2.3157414,2.6218079,1.7848444,2.1600756,1.6869138,3.0996067,2.425848,2.4762298,2.6701616,0.1745417,2.4516265,0.9184892,1.7343915,1.2122006,1.2379203,2.7934628,2.0597512,1.9236759,0.9238554,0.9624838,1.8345008,1.8388859,2.3780925,2.601053,2.2938809,1.0097747,3.4896458,2.8038165,2.9657062,2.8891426,2.8549555,2.4364295,3.290621,4.0355734,3.1572558,2.3025114,2.3234339,1.9619717,0.9215465,1.3727355
P2,5.241362,4.108392,3.771487,5.077182,4.761087,5.566393,5.46735,4.404554,4.18875,4.922541,6.504951,5.809784,5.095055,5.994014,3.222726,5.087458,4.935899,5.370959,3.646543,5.350466,5.256793,4.360101,4.163568,2.900666,4.748011,3.972251,1.96853,4.532976,4.702919,5.683496,4.975052,4.454526,3.806535,5.303441,4.187216,4.978003,5.186915,5.400059,3.66386,4.190675,5.297392,3.777462,4.051414,3.710505,3.581322,4.692013,3.695572,4.224639,3.656304,5.427078,3.635639,4.756091,5.221213,3.767096,4.507746,5.850257,3.355958,6.032404,5.318033,1.011329,5.526971,2.617718,4.925834,3.642707,3.204949,4.347528,4.349727,4.42168,4.350534,3.826006,4.468059,2.168217,4.679991,5.025992,3.842734,3.13329,5.010792,4.199234,5.786295,4.969465,4.1918,5.159463,6.013503,4.866775,5.214134,3.777492,3.455052,3.887891,2.177438,1.753097
P3,3.6340145,3.0202006,2.2561522,2.2921861,3.360651,3.6788159,3.7148028,2.2117949,2.9031651,2.8679316,4.4408108,3.0203957,2.9821894,3.1909263,0.5284696,2.3066926,2.8803733,2.9353439,0.8814725,2.7588535,2.6494012,2.5740822,1.4966719,2.3489809,2.4732242,1.6572254,1.1348693,2.9797347,2.4753172,2.8936074,2.5746215,2.1966418,3.3685288,2.6786242,2.7166114,2.4498976,3.509043,3.2021694,2.6426365,2.4385838,2.6862635,2.8343076,3.1215367,2.5588468,1.6742014,3.1271849,3.2834699,2.1675387,2.2742588,2.8473389,3.1692775,2.7603472,2.5945454,2.1910279,1.9128754,3.3655405,2.0492685,3.2527561,2.5430525,0.1427502,2.8416001,0.4397862,1.9971291,1.3264029,0.7735768,3.622174,2.0269462,2.2632364,1.0544231,1.255669,2.5078313,1.4984569,2.4694866,3.5839154,1.6320369,1.1453439,3.5294424,3.0380636,4.937435,2.7224259,2.8114264,2.2666724,3.5917505,4.6215712,2.9012055,2.2791096,4.4346911,1.8430827,0.7108561,1.3391094
P4,2.662249631,1.841527466,1.119396556,1.265641001,1.990896245,1.782963346,2.948115939,1.323956692,1.367013588,1.692786361,3.735958997,2.061211134,1.871850747,2.2007179,-0.879548855,1.479081521,2.408775724,1.931616968,-0.452749649,1.743251834,1.47559953,1.662353372,0.70319793,1.665840764,1.126193653,1.236878462,0.676278165,1.883492567,1.590660916,1.992412335,1.248933808,1.705048935,2.481678144,1.683361236,2.017825615,1.891519604,2.47960568,2.077084362,2.08652232,1.539366747,1.716577916,2.744704894,2.673065818,1.624453597,0.410613586,2.306463202,1.704695935,0.893126907,1.227788646,1.980847923,1.398994454,1.983244905,1.161560043,1.300355235,0.870696751,2.428870068,1.635290757,2.141368655,2.133789155,-0.852415326,1.903453772,-0.210385163,0.96818861,0.207028014,0.005977029,1.619082361,1.689615081,1.178562747,0.030895705,-0.085511845,1.383532572,0.847503883,1.080910496,1.196566107,1.162382421,0.114500735,2.379502798,1.738326356,1.783851081,1.720158158,1.667576398,1.278743444,2.286221684,3.58020784,2.288900354,1.496952187,1.343677511,0.977622959,-0.305534272,0.536774264
P5,3.419588774,2.380280194,3.118578121,2.00339982,2.388834242,1.82734613,3.215079644,1.478725001,1.800424363,2.140685256,4.229151773,2.157302447,2.208892749,2.694392338,0.003057133,1.667136104,2.455442646,1.94534273,0.330063806,2.238502569,1.958998437,2.057423214,1.224914636,2.599331696,0.748915506,1.421267728,0.925215147,2.250230704,2.630090592,3.158642413,1.603695273,2.817251163,3.490303683,2.662201725,3.193528181,2.76115527,2.762878584,2.426314602,1.685563406,2.059628184,2.505953042,3.239091727,3.469303003,2.653506117,1.406209518,2.566303068,2.301183405,1.22645636,1.825510057,2.234464555,1.834516086,2.124387141,1.380326583,1.568348088,0.928441084,2.655577628,1.895104937,1.967993933,1.909948846,-0.093774452,1.90780932,0.783053453,1.326066548,0.761819873,0.676975315,1.501159239,1.716494006,1.258564754,0.366795276,0.543137863,1.557818877,1.397570486,1.768862471,2.042915023,1.774400901,0.479737139,3.216167687,2.4082306,2.444858986,2.584066873,2.464416881,2.093867073,2.705390759,3.387779411,2.83416494,1.69263994,1.527224053,2.033161424,0.603937666,1.457674692
P6,3.52369283,2.39434181,1.82674233,2.16154555,2.49617909,2.17960857,3.38251482,1.87467174,2.09096061,2.32015322,4.61666276,2.72901864,2.59411583,4.20942966,-0.214304,2.19463034,2.95442271,2.37152982,0.37844996,2.62794073,2.54725612,2.36580447,1.34517115,2.80596796,1.73995473,1.69305962,1.13320269,2.71744214,2.64193269,3.29006398,1.6381061,2.80226312,3.24296909,2.7192097,3.07193766,2.95403825,2.91794513,2.61289633,2.16239104,2.32850286,2.81822041,3.4875317,3.45271847,2.28519118,1.05647176,2.61095603,2.25062915,1.36941068,2.41075185,3.08701647,2.03707563,2.8827451,1.72802684,2.03217023,1.34697556,3.14703875,2.71609821,2.3894021,2.63051394,-0.08519116,2.20614816,0.85418147,1.61538973,1.07202731,1.00331976,1.75194503,1.92798256,1.4232605,0.60176376,0.59381836,1.8663697,1.40631616,2.21818197,1.97668096,1.68898539,0.64942032,3.08795188,2.42013959,2.36811594,2.46152475,2.39052758,2.05665192,2.71478348,3.53135419,2.81833178,1.84274994,1.56633087,1.60290783,0.21110013,1.24122526
P7,2.9533845,2.53646326,1.91779917,1.82200606,2.61743979,2.96780423,3.61917806,2.72303787,2.03137335,2.67273195,4.02369644,1.83777625,2.68015723,2.75776009,0.07982264,2.5983825,2.88522177,3.14254224,0.19780297,2.78996387,2.09609525,3.57470432,1.49382952,1.8602515,2.5304486,2.37954657,1.75609426,2.85959567,2.42873603,2.98114476,2.70583126,2.48155576,3.403812,2.60231915,2.97136096,2.55720993,3.95094185,3.03377903,2.62969378,2.93466078,3.09613487,1.77591354,2.82320945,2.46608795,1.20864558,2.64865888,2.78217421,1.62276601,1.80076016,3.10477668,2.22275581,2.84798422,2.36097874,2.43683575,1.27114313,3.147721,1.90097901,2.84638812,2.86038635,-0.09932778,3.00952791,0.97286863,2.42969473,1.33947607,1.53141396,2.93462342,2.74157659,2.75257148,0.99025224,1.30347522,2.48017895,1.65605029,3.15049752,2.3387775,2.48511174,1.52073577,3.51315885,3.09215365,3.408655,3.36609876,3.42336846,2.42039968,3.6319539,4.93644411,2.95778671,2.57186937,1.95490005,1.48208143,0.7211563,1.14400209
P8,3.5928213,3.0457329,2.4321655,2.1312422,2.9907554,3.1208029,3.9357529,2.7739019,2.1769916,2.9433296,4.1657676,1.7707159,3.0459739,2.9670263,0.7189601,2.6118774,2.8837653,3.4330268,0.4257016,3.2147205,2.2322072,3.3225281,1.4345653,1.89823,2.7738288,2.5082085,1.743143,2.7647253,2.5198888,3.1634031,2.8310388,2.5631898,3.5877557,2.7767093,3.0631449,2.8325407,4.1401568,3.092316,2.7431509,3.1132988,2.7394276,1.9362132,2.5881203,2.3207154,1.3146994,3.1196647,3.2507671,2.3890726,2.0978328,3.524319,2.258189,3.2172505,3.6641436,2.5583371,1.9028163,3.4768377,2.2451682,3.1227909,2.7574921,0.3694069,2.8830521,1.1770375,2.4572053,1.546927,1.9941623,2.9112361,2.8617651,3.0409677,0.9873167,1.4778019,2.747908,1.678854,3.3263263,2.2196149,2.4653506,1.8460863,3.5137297,3.2601834,3.5020237,3.5248221,3.4369724,2.3790092,4.1154055,4.9225053,2.8367974,2.5991394,2.1170066,1.5364941,0.5899767,1.2500162
P9,2.2996201,1.9812293,0.9931752,1.1871862,1.7823123,1.6828905,3.3403804,1.7905564,1.2068018,1.5979612,3.5422481,1.4676062,1.6720668,2.2519972,-0.3741542,2.3073415,2.7389628,2.5262446,-0.1432786,2.3134915,1.523212,2.6265134,1.1120735,1.9331922,1.7946006,1.6937179,1.0538503,2.6037789,2.0105553,2.4898002,1.5816003,2.2229416,2.7914161,2.2311037,2.5264281,2.2850683,3.1673783,2.1226239,2.4588592,2.4299693,2.7088408,2.2308601,1.9093849,1.4840144,0.1325423,1.8519906,1.7957219,1.2985808,1.1732738,1.8607726,1.2426941,1.8414802,1.4483566,1.4058954,0.8745946,2.2943947,1.4428529,1.9221098,1.965131,-0.4553168,2.3161532,0.3682447,1.7503994,1.3254082,0.7238851,2.3499824,1.9737182,2.2133704,0.763389,0.833887,1.74415,1.2221032,2.0899476,1.367444,1.6799816,0.5042104,2.722364,2.2443624,2.7125889,2.3276016,2.4884081,1.5236731,3.0281565,4.0479552,2.673099,2.0638441,1.3806079,0.9682887,-0.3950789,0.6054211
